순위,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,KT,0.281,365,6,46,667,65,0.396,0.364,0.76,88,0.297,0.301
2,삼성,0.277,426,13,57,614,65,0.411,0.371,0.782,90,0.286,0.290
3,NC,0.277,313,10,80,645,66,0.411,0.358,0.769,86,0.274,0.255
4,한화,0.275,346,10,50,700,60,0.426,0.354,0.78,87,0.275,0.194
5,두산,0.270,322,5,55,647,70,0.397,0.344,0.741,92,0.257,0.238
6,LG,0.270,359,13,59,654,69,0.399,0.355,0.754,90,0.272,0.250
7,KIA,0.268,334,13,41,715,75,0.431,0.344,0.775,92,0.278,0.213
8,SSG,0.260,354,9,40,697,66,0.412,0.339,0.751,92,0.268,0.284
9,롯데,0.259,272,13,28,672,54,0.377,0.322,0.699,89,0.263,0.241
10,키움,0.238,308,5,61,798,65,0.341,0.317,0.658,92,0.223,0.240
