순위,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,두산,3.84,92,47,42,21,38,0.528,818 2/3,812,69,312,55,771,400,349,1.37
2,삼성,4.11,90,54,34,27,54,0.614,799,777,86,326,57,668,399,365,1.38
3,KIA,4.25,92,49,41,16,56,0.544,814 2/3,806,86,348,46,655,428,385,1.42
4,롯데,4.46,90,40,48,19,42,0.455,800 2/3,829,80,342,46,721,444,397,1.46
5,KT,4.53,88,51,35,19,45,0.593,786 1/3,861,73,279,43,669,428,396,1.45
6,LG,4.56,90,52,38,37,65,0.578,795 1/3,858,77,304,46,599,428,403,1.46
7,한화,4.61,88,41,44,13,44,0.482,785 2/3,824,76,350,63,636,458,402,1.49
8,NC,4.65,87,41,45,15,43,0.477,765 2/3,735,89,370,52,700,450,396,1.44
9,키움,5.0,93,33,58,22,45,0.363,819 2/3,897,80,342,46,699,494,455,1.51
10,SSG,5.85,92,33,56,12,34,0.371,806 1/3,884,101,426,63,691,576,524,1.62
